Time(s)	X	Y	Z
3,39	-0,720	-0,425	-1,230
3,91	-0,720	-0,425	-1,230
4,44	-0,715	1,500	-1,227
4,94	-0,720	1,500	-1,230
5,47	-0,761	1,494	-1,251
5,97	-0,746	1,495	-1,261
6,47	-0,648	1,494	-1,289
6,97	-0,664	1,491	-1,269
7,47	-0,668	1,495	-1,272
7,97	-0,711	1,500	-1,237
8,47	-0,706	1,499	-1,253
8,99	-0,711	1,498	-1,269
9,49	-0,709	1,499	-1,280
9,99	-0,713	1,499	-1,283
10,49	-0,712	1,497	-1,280
11,00	-0,708	1,497	-1,274
11,50	-0,715	1,497	-1,267
12,00	-0,727	1,495	-1,261
12,51	-0,766	1,499	-1,276
13,01	-0,817	1,462	-1,297
13,53	-0,840	1,458	-1,290
14,04	-0,804	1,484	-1,270
14,54	-0,774	1,492	-1,272
15,06	-0,773	1,499	-1,282
15,57	-0,775	1,499	-1,285
16,08	-0,777	1,498	-1,282
16,58	-0,779	1,493	-1,276
17,10	-0,782	1,491	-1,267
17,60	-0,775	1,493	-1,266
18,11	-0,773	1,494	-1,264
18,63	-0,768	1,500	-1,266
19,14	-0,773	1,497	-1,267
19,64	-0,777	1,496	-1,262
20,14	-0,804	1,492	-1,326
20,65	-0,810	1,478	-1,366
21,15	-0,817	1,479	-1,297
21,67	-0,798	1,477	-1,255
22,18	-0,792	1,469	-1,227
22,68	-0,778	1,498	-1,233
23,19	-0,777	1,496	-1,227
23,69	-0,761	1,497	-1,221
24,21	-0,757	1,496	-1,228
24,71	-0,769	1,503	-1,270
25,22	-0,764	1,503	-1,291
25,72	-0,752	1,502	-1,293
26,22	-0,758	1,498	-1,289
26,74	-0,750	1,495	-1,280
27,25	-0,738	1,483	-1,268
27,75	-0,715	1,470	-1,263
28,26	-0,721	1,472	-1,268
28,76	-0,722	1,480	-1,277
29,28	-0,733	1,498	-1,303
29,79	-0,731	1,498	-1,304
30,29	-0,736	1,506	-1,308
30,79	-0,761	1,506	-1,281
31,31	-0,711	1,512	-1,260
31,82	-0,830	1,508	-1,283
32,32	-0,789	1,514	-1,271
32,83	-0,703	1,505	-1,264
33,35	-0,702	1,504	-1,290
33,85	-0,694	1,501	-1,296
34,36	-0,696	1,504	-1,308
34,86	-0,686	1,507	-1,318
35,38	-0,683	1,498	-1,308
35,89	-0,684	1,504	-1,306
36,39	-0,674	1,516	-1,303
36,90	-0,675	1,505	-1,296
37,42	-0,678	1,501	-1,288
37,92	-0,680	1,501	-1,288
38,43	-0,683	1,500	-1,295
38,94	-0,696	1,496	-1,301
39,44	-0,692	1,496	-1,294
39,94	-0,692	1,497	-1,288
40,46	-0,695	1,497	-1,294
40,96	-0,693	1,498	-1,293
41,46	-0,685	1,499	-1,288
41,96	-0,586	1,488	-1,264
42,47	-0,546	1,487	-1,267
42,97	-0,628	1,498	-1,240
43,49	-0,640	1,498	-1,260
44,00	-0,618	1,497	-1,266
44,50	-0,631	1,497	-1,262
45,00	-0,728	1,471	-1,322
45,51	-0,762	1,460	-1,344
46,03	-0,776	1,455	-1,342
46,54	-0,767	1,457	-1,323
47,04	-0,766	1,456	-1,320
47,54	-0,767	1,452	-1,309
48,06	-0,763	1,452	-1,305
48,57	-0,759	1,454	-1,306
49,07	-0,757	1,454	-1,304
49,57	-0,755	1,455	-1,300
50,07	-0,764	1,449	-1,301
50,58	-0,774	1,443	-1,301
51,08	-0,774	1,448	-1,319
51,58	-0,854	1,448	-1,372
52,10	-1,084	1,405	-1,493
52,60	-1,184	1,432	-1,526
53,10	-1,343	1,439	-1,432
53,60	-1,483	1,431	-1,408
54,11	-1,674	1,437	-1,481
54,63	-1,787	1,417	-1,446
55,14	-1,853	1,403	-1,360
55,64	-1,889	1,415	-1,403
56,14	-1,940	1,405	-1,448
56,65	-1,935	1,389	-1,357
57,15	-1,895	1,431	-1,388
57,67	-1,797	1,491	-1,477
58,17	-1,706	1,494	-1,353
58,68	-1,725	1,490	-1,379
59,20	-1,745	1,488	-1,394
59,71	-1,735	1,492	-1,392
60,22	-1,726	1,491	-1,417
60,72	-1,718	1,486	-1,406
61,22	-1,697	1,487	-1,410
61,74	-1,689	1,487	-1,416
62,25	-1,700	1,494	-1,437
62,75	-1,708	1,498	-1,437
63,26	-1,706	1,497	-1,436
63,76	-1,706	1,498	-1,434
64,27	-1,709	1,499	-1,441
64,78	-1,709	1,499	-1,439
65,29	-1,706	1,500	-1,446
65,79	-1,695	1,501	-1,450
66,31	-1,690	1,501	-1,453
66,81	-1,688	1,501	-1,453
67,32	-1,691	1,503	-1,453
67,82	-1,701	1,502	-1,441
68,33	-1,694	1,501	-1,435
68,85	-1,701	1,498	-1,435
69,36	-1,704	1,495	-1,438
69,87	-1,692	1,498	-1,435
70,39	-1,699	1,499	-1,441
70,90	-1,700	1,497	-1,442
71,40	-1,679	1,504	-1,412
71,90	-1,682	1,506	-1,417
72,42	-1,680	1,509	-1,421
72,92	-1,677	1,507	-1,421
73,42	-1,686	1,507	-1,424
73,93	-1,694	1,504	-1,425
74,44	-1,702	1,505	-1,427
74,94	-1,712	1,498	-1,418
75,46	-1,693	1,504	-1,417
75,97	-1,695	1,502	-1,423
76,47	-1,696	1,504	-1,436
76,99	-1,692	1,504	-1,443
77,49	-1,711	1,479	-1,436
78,00	-1,728	1,496	-1,420
