Time(s)	X	Y	Z
2,58	-0,720	-0,305	-1,230
3,09	-0,720	-0,305	-1,230
3,59	-0,320	1,701	1,387
4,09	-0,320	1,700	1,389
4,59	-0,722	1,699	-1,231
5,10	-0,725	1,699	-1,229
5,60	-0,724	1,699	-1,230
6,10	-0,754	1,698	-1,235
6,61	-0,771	1,696	-1,247
7,11	-0,754	1,693	-1,252
7,61	-0,721	1,686	-1,248
8,11	-0,704	1,683	-1,247
8,62	-0,742	1,686	-1,248
9,12	-0,778	1,684	-1,240
9,64	-0,796	1,685	-1,239
10,15	-0,799	1,682	-1,232
10,67	-0,792	1,683	-1,227
11,18	-0,793	1,682	-1,228
11,69	-0,796	1,681	-1,223
12,19	-0,794	1,685	-1,207
12,71	-0,786	1,683	-1,220
13,21	-0,790	1,680	-1,218
13,71	-0,790	1,682	-1,223
14,22	-0,790	1,682	-1,219
14,74	-0,788	1,683	-1,217
15,25	-0,790	1,685	-1,216
15,76	-0,792	1,684	-1,214
16,26	-0,789	1,686	-1,211
16,76	-0,788	1,684	-1,206
17,26	-0,788	1,683	-1,205
17,78	-0,782	1,682	-1,198
18,29	-0,769	1,681	-1,193
18,80	-0,739	1,682	-1,204
19,30	-0,701	1,679	-1,219
19,82	-0,691	1,676	-1,237
20,32	-0,715	1,677	-1,243
20,83	-0,751	1,680	-1,237
21,35	-0,788	1,679	-1,236
21,86	-0,806	1,681	-1,235
22,37	-0,803	1,680	-1,236
22,88	-0,833	1,656	-1,260
23,39	-0,840	1,651	-1,293
23,90	-0,848	1,647	-1,285
24,40	-0,848	1,657	-1,266
24,90	-0,835	1,671	-1,241
25,40	-0,839	1,673	-1,238
25,92	-0,843	1,668	-1,245
26,42	-0,834	1,665	-1,247
26,93	-0,821	1,669	-1,234
27,43	-0,817	1,672	-1,230
27,94	-0,822	1,669	-1,223
28,44	-0,829	1,667	-1,216
28,96	-0,831	1,666	-1,212
29,46	-0,827	1,666	-1,206
29,96	-0,825	1,664	-1,192
30,47	-0,824	1,664	-1,190
30,97	-0,826	1,665	-1,194
31,47	-0,828	1,666	-1,195
31,99	-0,838	1,663	-1,195
32,50	-0,864	1,656	-1,216
33,00	-0,881	1,657	-1,229
33,51	-0,888	1,655	-1,227
34,01	-0,889	1,655	-1,225
34,53	-0,893	1,653	-1,224
35,04	-0,893	1,654	-1,228
35,54	-0,891	1,652	-1,230
36,06	-0,893	1,650	-1,229
36,57	-0,893	1,652	-1,230
37,07	-0,891	1,652	-1,236
37,58	-0,891	1,650	-1,244
38,10	-0,884	1,650	-1,250
38,61	-0,878	1,650	-1,251
39,11	-0,875	1,650	-1,248
39,61	-0,871	1,655	-1,245
40,12	-0,865	1,659	-1,237
40,62	-0,866	1,663	-1,224
41,12	-0,871	1,666	-1,215
41,64	-0,882	1,670	-1,214
42,14	-0,892	1,670	-1,223
42,64	-0,840	1,678	-1,220
43,15	-0,779	1,673	-1,183
43,65	-0,721	1,663	-1,180
44,15	-0,715	1,660	-1,188
44,65	-0,740	1,636	-1,181
45,17	-0,775	1,655	-1,198
45,68	-0,810	1,675	-1,217
46,18	-0,822	1,675	-1,202
46,69	-0,826	1,676	-1,194
47,21	-0,830	1,672	-1,189
47,71	-0,832	1,670	-1,186
48,22	-0,833	1,669	-1,183
48,72	-0,834	1,669	-1,180
49,22	-0,829	1,669	-1,179
49,72	-0,823	1,669	-1,178
50,22	-0,816	1,669	-1,179
50,74	-0,809	1,669	-1,182
51,24	-0,812	1,664	-1,193
51,75	-0,804	1,664	-1,196
52,26	-0,809	1,665	-1,198
52,78	-0,811	1,664	-1,200
53,29	-0,813	1,665	-1,201
53,80	-0,814	1,665	-1,208
54,33	-0,809	1,667	-1,209
54,84	-0,809	1,666	-1,206
55,36	-0,810	1,663	-1,200
55,87	-0,808	1,664	-1,205
56,37	-0,811	1,665	-1,207
56,88	-0,814	1,666	-1,204
57,39	-0,817	1,666	-1,205
57,90	-0,819	1,667	-1,211
58,41	-0,819	1,667	-1,215
58,92	-0,825	1,673	-1,225
59,44	-0,825	1,675	-1,221
59,94	-0,825	1,673	-1,217
