Time(s)	X	Y	Z
2,97	-0,720	-0,425	-1,230
3,47	-0,720	-0,425	-1,230
3,99	-1,320	1,375	-0,399
4,49	-0,719	1,373	-1,231
5,00	-0,721	1,375	-1,234
5,50	-0,726	1,375	-1,232
6,00	-0,764	1,376	-1,238
6,50	-0,799	1,372	-1,258
7,00	-0,782	1,365	-1,292
7,51	-0,766	1,363	-1,309
8,01	-0,736	1,366	-1,297
8,53	-0,703	1,362	-1,283
9,04	-0,761	1,370	-1,335
9,54	-0,805	1,359	-1,344
10,04	-0,825	1,340	-1,348
10,55	-0,826	1,334	-1,341
11,05	-0,816	1,334	-1,343
11,55	-0,789	1,357	-1,315
12,07	-0,768	1,366	-1,296
12,57	-0,764	1,366	-1,285
13,07	-0,757	1,360	-1,300
13,58	-0,754	1,362	-1,306
14,08	-0,789	1,305	-1,295
14,60	-0,783	1,254	-1,300
15,10	-0,782	1,357	-1,298
15,60	-0,767	1,379	-1,296
16,11	-0,782	1,374	-1,300
16,61	-0,789	1,369	-1,293
17,12	-0,791	1,368	-1,289
17,62	-0,788	1,369	-1,289
18,12	-0,779	1,368	-1,284
18,64	-0,787	1,359	-1,288
19,15	-0,785	1,382	-1,300
19,65	-0,791	1,367	-1,307
20,17	-0,785	1,370	-1,310
20,68	-0,745	1,376	-1,274
21,18	-0,733	1,371	-1,255
21,69	-0,746	1,366	-1,258
22,19	-0,777	1,359	-1,279
22,71	-0,779	1,365	-1,289
23,22	-0,782	1,368	-1,290
23,73	-0,775	1,367	-1,286
24,23	-0,773	1,367	-1,284
24,75	-0,775	1,368	-1,296
25,26	-0,774	1,367	-1,302
25,76	-0,778	1,367	-1,303
26,27	-0,796	1,371	-1,378
26,79	-0,753	1,369	-1,440
27,29	-0,707	1,363	-1,463
27,80	-0,762	1,372	-1,458
28,30	-0,809	1,376	-1,334
28,80	-0,759	1,375	-1,244
29,32	-0,711	1,372	-1,215
29,83	-0,784	1,367	-1,253
30,35	-0,786	1,368	-1,274
30,86	-0,798	1,366	-1,285
31,36	-0,794	1,366	-1,291
31,86	-0,790	1,367	-1,296
32,36	-0,778	1,367	-1,292
32,86	-0,771	1,367	-1,298
33,36	-0,772	1,367	-1,305
33,87	-0,775	1,394	-1,338
34,37	-0,809	1,357	-1,344
34,87	-0,777	1,376	-1,322
35,37	-0,781	1,373	-1,293
35,89	-0,773	1,378	-1,287
36,39	-0,777	1,375	-1,290
36,89	-0,771	1,373	-1,296
37,39	-0,772	1,367	-1,303
37,90	-0,778	1,356	-1,316
38,41	-0,773	1,359	-1,318
38,92	-0,769	1,363	-1,309
39,43	-0,771	1,364	-1,300
39,94	-0,777	1,366	-1,287
40,46	-0,796	1,365	-1,270
40,96	-0,819	1,359	-1,254
41,47	-0,820	1,376	-1,255
41,97	-0,813	1,371	-1,256
42,48	-0,800	1,368	-1,261
43,00	-0,776	1,369	-1,277
43,50	-0,771	1,370	-1,286
44,01	-0,763	1,373	-1,291
44,53	-0,778	1,367	-1,280
45,03	-0,780	1,365	-1,265
45,54	-0,779	1,365	-1,258
46,05	-0,776	1,365	-1,263
46,57	-0,782	1,316	-1,264
47,07	-0,777	1,276	-1,272
47,57	-0,747	1,307	-1,286
48,07	-0,729	1,339	-1,301
48,58	-0,728	1,351	-1,309
49,08	-0,743	1,343	-1,301
49,58	-0,749	1,348	-1,301
50,10	-0,741	1,351	-1,303
50,61	-0,736	1,351	-1,308
51,11	-0,734	1,351	-1,311
51,61	-0,735	1,352	-1,315
52,12	-0,735	1,351	-1,317
52,64	-0,736	1,350	-1,316
