Time(s)	X	Y	Z
92,73	-1,699	0,701	-1,040
93,24	-1,711	0,693	-1,031
93,74	-1,681	1,056	-1,059
94,25	-1,685	1,292	-1,178
94,75	-1,734	1,326	-1,204
95,26	-1,729	1,344	-1,244
95,76	-1,730	1,344	-1,331
96,27	-1,725	1,335	-1,351
96,79	-1,739	1,342	-1,326
97,29	-1,580	1,401	-1,205
97,79	-1,539	1,397	-1,177
98,30	-1,557	1,298	-1,107
98,80	-1,484	1,358	-1,160
99,31	-1,484	1,405	-1,216
99,81	-1,643	1,383	-1,230
100,33	-1,660	1,381	-1,256
100,84	-1,669	1,385	-1,272
101,34	-1,684	1,387	-1,281
101,84	-1,678	1,383	-1,290
102,34	-1,669	1,381	-1,234
102,84	-1,664	1,389	-1,230
103,36	-1,655	1,378	-1,231
103,86	-1,659	1,386	-1,232
104,36	-1,665	1,396	-1,302
104,87	-1,666	1,394	-1,323
105,37	-1,667	1,392	-1,324
105,87	-1,673	1,392	-1,298
106,37	-1,655	1,386	-1,215
106,88	-1,660	1,385	-1,235
107,38	-1,649	1,388	-1,230
107,88	-1,647	1,386	-1,224
108,40	-1,626	1,392	-1,199
108,90	-1,629	1,387	-1,205
109,40	-1,634	1,382	-1,215
109,91	-1,635	1,375	-1,218
110,42	-1,641	1,401	-1,216
110,93	-1,636	1,396	-1,233
111,43	-1,653	1,389	-1,254
111,95	-1,623	1,405	-1,207
112,45	-1,589	1,416	-1,181
112,95	-1,596	1,413	-1,194
113,46	-1,627	1,397	-1,243
113,97	-1,632	1,395	-1,278
114,47	-1,632	1,406	-1,265
114,99	-1,603	1,429	-1,217
115,49	-1,609	1,428	-1,229
116,00	-1,569	1,442	-1,349
116,51	-1,576	1,442	-1,346
117,01	-1,571	1,456	-1,215
117,51	-1,560	1,460	-1,219
118,02	-1,558	1,456	-1,226
118,54	-1,617	1,385	-1,285
119,04	-1,628	1,385	-1,294
119,54	-1,623	1,396	-1,323
120,05	-1,622	1,398	-1,368
120,55	-1,632	1,397	-1,338
121,05	-1,637	1,400	-1,302
121,56	-1,633	1,401	-1,286
122,06	-1,624	1,417	-1,261
122,58	-1,570	1,459	-1,216
123,09	-1,575	1,455	-1,228
123,61	-1,581	1,448	-1,227
124,12	-1,630	1,396	-1,264
124,62	-1,639	1,391	-1,265
125,12	-1,646	1,389	-1,258
125,63	-1,645	1,384	-1,245
126,13	-1,645	1,382	-1,240
126,65	-1,645	1,380	-1,240
127,15	-1,649	1,380	-1,240
127,65	-1,668	1,381	-1,305
128,16	-1,664	1,382	-1,337
128,66	-1,654	1,385	-1,251
129,16	-1,629	1,390	-1,203
129,68	-1,621	1,390	-1,198
130,19	-1,625	1,386	-1,204
130,69	-1,613	1,413	-1,188
131,20	-1,625	1,393	-1,212
131,72	-1,649	1,367	-1,244
132,22	-1,648	1,366	-1,246
132,73	-1,661	1,372	-1,301
133,23	-1,664	1,374	-1,313
133,74	-1,668	1,375	-1,323
134,26	-1,669	1,376	-1,324
134,77	-1,670	1,376	-1,318
135,28	-1,671	1,377	-1,316
135,79	-1,673	1,378	-1,313
136,29	-1,668	1,383	-1,273
136,80	-1,653	1,388	-1,238
137,31	-1,624	1,394	-1,218
137,81	-1,598	1,408	-1,202
138,31	-1,578	1,426	-1,182
138,82	-1,572	1,430	-1,186
139,33	-1,568	1,429	-1,185
139,85	-1,569	1,429	-1,185
140,35	-1,560	1,428	-1,152
140,86	-1,542	1,415	-1,102
141,39	-1,558	1,405	-1,134
141,90	-1,592	1,418	-1,220
142,42	-1,585	1,436	-1,271
142,93	-1,575	1,444	-1,278
143,45	-1,568	1,461	-1,276
143,96	-1,550	1,473	-1,280
144,48	-1,550	1,470	-1,273
144,98	-1,555	1,468	-1,267
145,48	-1,562	1,465	-1,262
145,99	-1,628	1,400	-1,312
146,51	-1,643	1,391	-1,353
147,01	-1,713	1,369	-1,431
147,51	-1,809	1,318	-1,486
148,01	-1,775	1,350	-1,478
148,51	-1,669	1,401	-1,434
149,01	-1,626	1,412	-1,355
149,51	-1,592	1,415	-1,308
150,02	-1,577	1,411	-1,299
150,52	-1,575	1,411	-1,309
151,04	-1,572	1,417	-1,299
151,54	-1,573	1,429	-1,301
152,04	-1,580	1,425	-1,322
152,55	-1,600	1,412	-1,327
153,05	-1,632	1,398	-1,321
153,56	-1,636	1,396	-1,335
154,08	-1,639	1,397	-1,336
154,58	-1,637	1,396	-1,348
155,08	-1,706	1,368	-1,397
155,58	-1,847	1,243	-1,464
156,09	-1,841	1,257	-1,502
156,59	-1,824	1,274	-1,534
157,09	-1,766	1,323	-1,477
157,61	-1,793	1,287	-1,411
158,12	-1,751	1,337	-1,344
158,63	-1,726	1,352	-1,341
159,13	-1,715	1,352	-1,363
159,65	-1,699	1,367	-1,380
160,16	-1,691	1,363	-1,387
160,66	-1,708	1,336	-1,391
161,16	-1,746	1,286	-1,364
161,67	-1,736	1,325	-1,348
162,19	-1,719	1,348	-1,345
162,69	-1,725	1,350	-1,333
163,19	-1,656	1,375	-1,316
163,70	-1,640	1,381	-1,319
164,22	-1,638	1,385	-1,321
164,73	-1,618	1,388	-1,333
165,24	-1,639	1,382	-1,326
165,74	-1,625	1,384	-1,339
166,26	-1,604	1,421	-1,346
166,77	-1,578	1,469	-1,348
167,27	-1,581	1,468	-1,345
167,77	-1,557	1,453	-1,354
168,29	-1,581	1,421	-1,339
168,80	-1,596	1,411	-1,338
169,30	-1,639	1,402	-1,357
169,81	-1,701	1,393	-1,385
170,31	-1,723	1,381	-1,391
170,81	-1,711	1,383	-1,389
171,33	-1,736	1,336	-1,390
171,83	-1,709	1,354	-1,316
172,35	-1,800	1,291	-1,321
172,85	-1,822	1,226	-1,333
173,37	-1,769	1,350	-1,309
173,87	-1,539	1,464	-1,227
174,37	-1,456	1,455	-1,162
174,88	-1,530	1,404	-1,233
175,38	-1,547	1,404	-1,268
175,90	-1,549	1,403	-1,271
176,41	-1,557	1,403	-1,270
