Time(s)	X	Y	Z
2,70	-0,720	-0,305	-1,230
3,21	-0,720	-0,305	-1,230
3,71	-1,702	1,447	-0,811
4,21	-0,760	1,436	-1,235
4,71	-0,750	1,442	-1,239
5,21	-0,748	1,445	-1,236
5,72	-0,725	1,447	-1,223
6,23	-0,729	1,446	-1,217
6,74	-0,733	1,444	-1,219
7,24	-0,736	1,443	-1,223
7,76	-0,734	1,445	-1,223
8,26	-0,734	1,453	-1,223
8,77	-0,720	1,448	-1,229
9,27	-0,723	1,447	-1,232
9,77	-0,723	1,447	-1,232
10,28	-0,746	1,445	-1,234
10,78	-0,778	1,433	-1,240
11,29	-0,829	1,439	-1,288
11,79	-0,836	1,449	-1,292
12,30	-0,831	1,450	-1,262
12,81	-0,830	1,448	-1,252
13,33	-0,822	1,445	-1,250
13,84	-0,812	1,445	-1,261
14,34	-0,805	1,447	-1,267
14,84	-0,810	1,436	-1,265
15,35	-0,803	1,446	-1,269
15,86	-0,806	1,440	-1,271
16,36	-0,811	1,444	-1,274
16,87	-0,821	1,446	-1,270
17,37	-0,819	1,447	-1,265
17,88	-0,818	1,445	-1,267
18,40	-0,818	1,439	-1,274
18,90	-0,841	1,430	-1,317
19,40	-0,847	1,428	-1,317
19,90	-0,826	1,447	-1,283
20,41	-0,817	1,448	-1,271
20,91	-0,815	1,447	-1,261
21,41	-0,815	1,449	-1,265
21,92	-0,813	1,449	-1,272
22,44	-0,812	1,450	-1,270
22,95	-0,812	1,450	-1,269
23,47	-0,818	1,443	-1,268
23,98	-0,817	1,445	-1,265
24,48	-0,818	1,446	-1,268
24,99	-0,816	1,448	-1,276
25,49	-0,811	1,450	-1,277
25,99	-0,808	1,450	-1,279
26,51	-0,806	1,449	-1,278
27,01	-0,810	1,449	-1,277
27,52	-0,812	1,450	-1,277
28,02	-0,810	1,449	-1,275
28,53	-0,809	1,449	-1,278
29,03	-0,811	1,448	-1,277
29,54	-0,812	1,448	-1,271
30,04	-0,814	1,449	-1,269
30,55	-0,817	1,448	-1,268
31,05	-0,818	1,447	-1,267
31,56	-0,816	1,450	-1,269
32,06	-0,816	1,450	-1,269
32,58	-0,817	1,450	-1,272
33,09	-0,812	1,450	-1,274
33,60	-0,808	1,451	-1,275
34,10	-0,805	1,455	-1,275
34,62	-0,808	1,455	-1,276
35,12	-0,805	1,453	-1,277
35,62	-0,803	1,452	-1,275
36,12	-0,803	1,451	-1,275
36,63	-0,802	1,450	-1,276
37,13	-0,801	1,451	-1,279
37,63	-0,801	1,451	-1,275
38,15	-0,802	1,450	-1,272
38,66	-0,804	1,449	-1,270
39,16	-0,806	1,448	-1,270
39,67	-0,809	1,446	-1,269
40,19	-0,812	1,441	-1,264
40,69	-0,802	1,408	-1,251
41,20	-0,802	1,413	-1,260
41,72	-0,802	1,412	-1,255
42,22	-0,803	1,409	-1,253
