Time(s)	X	Y	Z
3,08	-0,720	-0,305	-1,230
3,58	-0,720	-0,305	-1,230
4,09	-1,625	1,857	-0,698
4,60	-1,623	1,856	-0,698
5,11	-1,622	1,856	-0,697
5,61	-0,720	1,855	-1,230
6,12	-0,721	1,854	-1,229
6,64	-0,781	1,845	-1,232
7,15	-0,786	1,818	-1,232
7,66	-0,826	1,769	-1,221
8,16	-0,940	1,810	-1,268
8,68	-1,005	1,834	-1,311
9,19	-0,973	1,807	-1,288
9,69	-0,945	1,787	-1,193
10,19	-0,954	1,796	-1,208
10,69	-0,972	1,806	-1,216
11,20	-0,951	1,826	-1,221
11,70	-0,939	1,824	-1,204
12,24	-0,930	1,837	-1,209
12,74	-0,959	1,835	-1,252
13,25	-0,984	1,839	-1,289
13,76	-0,915	1,844	-1,245
14,26	-0,874	1,830	-1,171
14,76	-0,895	1,822	-1,189
15,27	-0,955	1,792	-1,222
15,77	-0,962	1,805	-1,219
16,29	-0,937	1,815	-1,235
16,79	-0,920	1,823	-1,239
17,29	-0,902	1,841	-1,244
17,80	-0,893	1,840	-1,247
18,31	-0,888	1,840	-1,248
18,82	-0,881	1,844	-1,260
19,33	-0,874	1,847	-1,259
19,83	-0,880	1,847	-1,256
20,33	-0,889	1,850	-1,251
20,84	-0,901	1,841	-1,239
21,36	-0,911	1,835	-1,228
21,87	-0,921	1,831	-1,228
22,38	-0,925	1,827	-1,227
22,88	-0,931	1,825	-1,220
23,40	-0,924	1,835	-1,226
23,91	-0,915	1,839	-1,233
24,41	-0,912	1,836	-1,238
24,93	-0,909	1,834	-1,238
25,44	-0,902	1,839	-1,242
25,94	-0,905	1,835	-1,239
26,45	-0,907	1,833	-1,235
26,95	-0,910	1,834	-1,235
27,47	-0,911	1,833	-1,240
27,98	-0,917	1,830	-1,239
28,49	-0,913	1,832	-1,238
29,00	-0,915	1,835	-1,238
29,50	-0,914	1,836	-1,242
30,01	-0,911	1,837	-1,240
30,52	-0,912	1,835	-1,239
31,02	-0,911	1,832	-1,240
31,52	-0,906	1,833	-1,241
32,04	-0,902	1,831	-1,238
32,54	-0,902	1,808	-1,222
33,04	-0,903	1,808	-1,215
33,55	-0,917	1,793	-1,219
34,05	-0,925	1,794	-1,217
34,55	-0,927	1,794	-1,208
35,06	-0,920	1,794	-1,196
35,57	-0,928	1,818	-1,216
36,08	-0,930	1,817	-1,227
36,59	-0,905	1,810	-1,220
37,11	-0,881	1,819	-1,227
37,62	-0,878	1,828	-1,233
38,13	-0,881	1,835	-1,239
38,65	-0,895	1,839	-1,238
39,15	-0,894	1,835	-1,232
39,66	-0,894	1,834	-1,232
40,18	-0,895	1,832	-1,232
40,68	-0,892	1,829	-1,232
41,19	-0,890	1,830	-1,230
41,70	-0,892	1,832	-1,230
42,20	-0,893	1,831	-1,231
42,72	-0,889	1,832	-1,232
43,22	-0,883	1,834	-1,237
43,73	-0,883	1,834	-1,241
44,25	-0,882	1,833	-1,241
44,76	-0,882	1,832	-1,240
45,26	-0,882	1,832	-1,241
45,77	-0,883	1,831	-1,240
46,29	-0,883	1,832	-1,246
46,79	-0,880	1,833	-1,248
47,30	-0,877	1,833	-1,248
47,81	-0,877	1,832	-1,247
48,35	-0,878	1,831	-1,243
48,86	-0,884	1,834	-1,238
49,36	-0,892	1,831	-1,233
49,86	-0,896	1,830	-1,229
50,38	-0,906	1,833	-1,230
50,89	-0,902	1,833	-1,222
51,40	-0,903	1,833	-1,227
51,92	-0,901	1,832	-1,226
52,42	-0,896	1,832	-1,229
52,92	-0,892	1,832	-1,226
53,42	-0,894	1,832	-1,226
53,92	-0,895	1,831	-1,225
54,42	-0,895	1,831	-1,227
54,92	-0,894	1,830	-1,226
55,43	-0,877	1,844	-1,231
55,93	-0,915	1,840	-1,235
56,43	-0,957	1,801	-1,262
56,94	-0,990	1,795	-1,272
57,44	-0,941	1,827	-1,228
57,94	-0,922	1,840	-1,202
58,44	-0,951	1,834	-1,166
58,95	-0,966	1,885	-1,156
59,45	-0,936	1,846	-1,187
59,95	-0,931	1,838	-1,216
60,47	-0,932	1,834	-1,234
60,97	-0,990	1,803	-1,266
61,48	-1,003	1,795	-1,297
61,98	-1,016	1,790	-1,305
62,49	-1,023	1,781	-1,327
63,00	-1,023	1,777	-1,350
63,50	-1,001	1,782	-1,347
64,01	-0,995	1,780	-1,330
64,51	-0,980	1,776	-1,289
65,01	-0,969	1,775	-1,264
65,52	-0,960	1,777	-1,260
66,04	-0,969	1,774	-1,274
66,54	-0,969	1,775	-1,289
67,05	-0,964	1,779	-1,294
67,57	-0,963	1,781	-1,297
68,07	-0,963	1,783	-1,300
68,58	-0,959	1,783	-1,265
69,08	-0,967	1,778	-1,254
69,58	-0,985	1,776	-1,272
70,08	-0,989	1,789	-1,264
70,59	-0,930	1,844	-1,247
71,09	-0,900	1,844	-1,247
71,59	-0,919	1,823	-1,279
72,11	-0,944	1,807	-1,329
72,62	-0,950	1,801	-1,338
73,12	-0,956	1,800	-1,339
73,63	-0,975	1,796	-1,329
74,13	-0,958	1,807	-1,252
74,64	-0,876	1,830	-1,158
75,15	-0,860	1,824	-1,126
75,66	-0,939	1,830	-1,208
76,16	-1,017	1,829	-1,280
76,68	-0,973	1,842	-1,253
77,19	-0,920	1,842	-1,192
77,69	-0,913	1,843	-1,181
78,20	-0,919	1,834	-1,176
78,72	-0,919	1,841	-1,204
79,22	-0,917	1,839	-1,218
79,73	-0,910	1,841	-1,224
80,23	-0,898	1,848	-1,230
80,75	-0,898	1,849	-1,229
81,26	-0,897	1,849	-1,222
81,77	-0,902	1,846	-1,220
82,27	-0,904	1,842	-1,217
82,79	-0,907	1,840	-1,220
83,29	-0,907	1,840	-1,222
83,80	-0,904	1,840	-1,222
84,31	-0,903	1,839	-1,222
84,83	-0,901	1,843	-1,222
85,33	-0,900	1,840	-1,219
85,84	-0,904	1,841	-1,218
86,34	-0,909	1,840	-1,216
86,86	-0,914	1,839	-1,213
87,37	-0,919	1,838	-1,211
87,87	-0,916	1,838	-1,215
88,37	-0,907	1,838	-1,222
88,88	-0,902	1,840	-1,228
89,40	-0,908	1,825	-1,228
89,90	-0,906	1,808	-1,227
90,41	-0,902	1,806	-1,228
90,93	-0,906	1,805	-1,224
91,43	-0,909	1,805	-1,220
91,93	-0,909	1,806	-1,222
92,44	-0,906	1,808	-1,222
92,94	-0,906	1,807	-1,221
93,44	-0,905	1,810	-1,223
93,95	-0,905	1,811	-1,224
94,47	-0,905	1,811	-1,226
94,98	-0,900	1,812	-1,226
95,50	-0,900	1,813	-1,224
