Time(s)	X	Y	Z
2,58	-0,720	-0,305	-1,230
3,09	-0,720	-0,305	-1,230
3,61	-1,649	1,475	-0,701
4,11	-0,720	1,475	-1,231
4,61	-0,745	1,475	-1,232
5,11	-0,768	1,477	-1,249
5,61	-0,776	1,475	-1,262
6,13	-0,786	1,476	-1,265
6,63	-0,782	1,472	-1,262
7,14	-0,774	1,470	-1,253
7,64	-0,770	1,468	-1,249
8,14	-0,768	1,470	-1,241
8,66	-0,769	1,465	-1,240
9,16	-0,770	1,468	-1,247
9,67	-0,774	1,475	-1,255
10,17	-0,781	1,476	-1,261
10,67	-0,784	1,468	-1,255
11,18	-0,811	1,458	-1,272
11,68	-0,815	1,455	-1,279
12,19	-0,811	1,455	-1,269
12,70	-0,788	1,460	-1,243
13,20	-0,771	1,469	-1,236
13,71	-0,772	1,469	-1,253
14,23	-0,781	1,464	-1,259
14,73	-0,784	1,467	-1,252
15,24	-0,791	1,468	-1,242
15,75	-0,775	1,461	-1,265
16,25	-0,765	1,461	-1,273
16,77	-0,769	1,456	-1,266
17,28	-0,770	1,458	-1,263
17,78	-0,774	1,451	-1,253
18,29	-0,783	1,449	-1,236
18,81	-0,782	1,463	-1,235
19,32	-0,776	1,461	-1,231
19,84	-0,775	1,463	-1,237
20,34	-0,776	1,463	-1,240
20,84	-0,776	1,461	-1,239
21,35	-0,769	1,462	-1,239
21,86	-0,767	1,463	-1,239
22,36	-0,770	1,461	-1,244
22,88	-0,767	1,461	-1,246
23,38	-0,767	1,461	-1,244
23,88	-0,771	1,460	-1,241
24,39	-0,775	1,459	-1,240
24,89	-0,773	1,458	-1,241
25,41	-0,768	1,460	-1,245
25,92	-0,767	1,465	-1,256
26,42	-0,771	1,464	-1,261
26,94	-0,773	1,461	-1,258
27,45	-0,775	1,460	-1,249
27,95	-0,768	1,463	-1,243
28,45	-0,769	1,464	-1,242
28,96	-0,769	1,463	-1,243
29,46	-0,765	1,463	-1,245
29,96	-0,766	1,464	-1,244
30,48	-0,769	1,462	-1,243
30,99	-0,770	1,462	-1,243
31,49	-0,770	1,462	-1,244
31,99	-0,767	1,463	-1,246
32,49	-0,765	1,464	-1,253
33,00	-0,767	1,463	-1,262
33,52	-0,768	1,463	-1,264
34,02	-0,767	1,462	-1,261
34,53	-0,768	1,462	-1,258
35,04	-0,768	1,461	-1,253
35,56	-0,769	1,461	-1,249
36,06	-0,770	1,460	-1,243
36,57	-0,771	1,460	-1,239
37,09	-0,771	1,460	-1,237
37,59	-0,767	1,461	-1,237
38,09	-0,764	1,463	-1,241
38,60	-0,759	1,464	-1,246
39,10	-0,759	1,465	-1,248
39,60	-0,761	1,463	-1,247
40,10	-0,782	1,462	-1,248
40,61	-0,806	1,459	-1,261
41,11	-0,817	1,459	-1,293
41,63	-0,810	1,463	-1,286
42,13	-0,801	1,473	-1,273
42,64	-0,808	1,474	-1,270
43,14	-0,812	1,474	-1,263
43,66	-0,817	1,469	-1,251
44,16	-0,826	1,469	-1,247
44,66	-0,835	1,469	-1,240
45,17	-0,834	1,468	-1,230
45,68	-0,828	1,468	-1,217
46,18	-0,815	1,468	-1,214
46,70	-0,798	1,468	-1,213
47,21	-0,771	1,474	-1,226
47,73	-0,764	1,474	-1,231
48,24	-0,774	1,473	-1,236
48,75	-0,753	1,474	-1,236
49,25	-0,746	1,472	-1,225
49,75	-0,742	1,470	-1,222
50,26	-0,743	1,471	-1,227
50,77	-0,738	1,481	-1,241
51,27	-0,734	1,482	-1,253
51,79	-0,754	1,484	-1,248
52,29	-0,777	1,481	-1,244
52,79	-0,793	1,476	-1,234
53,29	-0,790	1,475	-1,230
53,80	-0,777	1,476	-1,231
54,32	-0,776	1,480	-1,238
54,82	-0,765	1,476	-1,242
55,33	-0,763	1,475	-1,245
55,83	-0,765	1,475	-1,237
56,33	-0,765	1,474	-1,231
56,85	-0,767	1,473	-1,225
57,36	-0,766	1,474	-1,224
57,86	-0,762	1,474	-1,220
58,38	-0,767	1,473	-1,222
58,88	-0,792	1,461	-1,216
59,40	-0,804	1,468	-1,228
59,91	-0,846	1,482	-1,247
