Time(s)	X	Y	Z
3,02	-0,720	-0,253	-1,230
3,53	-0,720	-0,253	-1,230
4,03	-0,718	1,020	-1,233
4,53	-0,717	1,019	-1,232
5,03	-0,717	1,026	-1,228
5,54	-0,721	1,016	-1,226
6,04	-0,725	1,016	-1,224
6,55	-0,729	1,050	-1,229
7,05	-0,853	1,129	-1,248
7,56	-1,041	1,117	-1,334
8,08	-1,317	1,066	-1,330
8,59	-1,553	1,139	-1,208
9,09	-1,679	1,338	-1,104
9,61	-1,665	1,342	-0,995
10,12	-1,805	1,244	-0,892
10,63	-1,973	1,225	-0,820
11,13	-2,011	1,219	-0,805
11,64	-2,011	1,219	-0,805
12,14	-2,011	1,219	-0,805
12,70	-2,011	1,219	-0,805
13,21	-1,104	1,338	-0,561
13,71	-0,947	1,334	-0,889
14,21	-0,861	1,284	-1,096
14,71	-0,894	1,284	-1,284
15,22	-0,949	1,330	-1,491
15,72	-0,793	1,300	-1,657
16,23	-0,598	1,297	-1,756
16,73	-0,398	1,240	-1,837
17,23	-0,158	1,250	-1,810
17,73	-0,303	1,468	-1,535
18,24	-0,261	1,657	-1,285
18,76	0,039	1,578	-1,014
19,27	0,242	1,555	-0,855
19,79	0,468	1,511	-0,721
20,29	0,474	1,512	-0,718
20,79	0,474	1,512	-0,718
21,29	0,474	1,512	-0,718
21,83	0,474	1,512	-0,718
22,34	-0,568	1,349	-1,631
22,84	-0,787	1,292	-1,608
23,34	-0,899	1,301	-1,520
23,85	-1,008	1,244	-1,290
24,35	-0,799	1,154	-1,199
24,87	-0,426	0,837	-1,153
25,37	-0,253	0,639	-1,057
25,87	-0,235	0,635	-1,047
26,37	-0,235	0,635	-1,047
26,87	-0,235	0,635	-1,047
Session ended: 14-05-2026 14:05:24
