Time(s)	X	Y	Z
91,95	-0,821	1,855	-1,287
92,46	-0,817	1,855	-1,291
92,96	-0,814	1,856	-1,296
93,46	-0,812	1,856	-1,300
93,97	-0,811	1,857	-1,304
94,47	-0,813	1,858	-1,308
94,98	-0,818	1,856	-1,307
95,49	-0,822	1,854	-1,303
95,99	-0,822	1,861	-1,291
96,50	-0,772	1,827	-1,250
97,02	-0,702	1,805	-1,231
97,52	-0,712	1,832	-1,236
98,03	-0,816	1,861	-1,268
98,54	-0,872	1,852	-1,272
99,04	-0,850	1,835	-1,279
99,56	-0,859	1,800	-1,280
100,07	-0,878	1,784	-1,298
100,59	-0,839	1,812	-1,259
101,09	-0,828	1,821	-1,256
101,60	-0,834	1,835	-1,260
102,11	-0,824	1,835	-1,238
102,61	-0,821	1,834	-1,235
103,13	-0,818	1,834	-1,234
103,64	-0,812	1,839	-1,241
104,14	-0,788	1,844	-1,249
104,66	-0,793	1,847	-1,253
105,17	-0,799	1,846	-1,259
105,67	-0,800	1,843	-1,262
106,18	-0,801	1,839	-1,267
106,69	-0,771	1,816	-1,260
107,20	-0,779	1,830	-1,268
107,72	-0,779	1,846	-1,274
108,22	-0,790	1,843	-1,279
108,73	-0,807	1,833	-1,249
109,23	-0,814	1,824	-1,235
109,75	-0,839	1,833	-1,232
110,25	-0,840	1,845	-1,245
110,76	-0,837	1,850	-1,257
111,29	-0,829	1,850	-1,256
111,80	-0,826	1,849	-1,262
112,31	-0,819	1,849	-1,267
112,83	-0,817	1,849	-1,267
113,34	-0,816	1,848	-1,266
113,85	-0,817	1,846	-1,266
114,35	-0,821	1,846	-1,267
114,86	-0,826	1,846	-1,268
115,36	-0,833	1,844	-1,269
115,86	-0,839	1,830	-1,260
116,38	-0,839	1,831	-1,250
116,88	-0,843	1,827	-1,255
117,38	-0,910	1,776	-1,279
117,89	-0,953	1,749	-1,266
118,39	-0,994	1,747	-1,277
118,89	-0,995	1,755	-1,263
119,41	-0,977	1,761	-1,255
119,92	-0,968	1,766	-1,261
120,42	-0,928	1,817	-1,244
120,93	-0,872	1,841	-1,253
121,43	-0,851	1,846	-1,261
121,95	-0,846	1,845	-1,264
122,46	-0,850	1,841	-1,267
122,97	-0,846	1,849	-1,267
123,47	-0,817	1,848	-1,242
123,97	-0,773	1,848	-1,222
124,49	-0,755	1,848	-1,215
125,00	-0,718	1,848	-1,217
125,52	-0,666	1,847	-1,234
126,03	-0,630	1,847	-1,253
126,53	-0,600	1,845	-1,287
127,03	-0,779	1,841	-1,200
127,54	-0,852	1,841	-1,251
128,04	-0,833	1,841	-1,262
128,54	-0,894	1,844	-1,299
129,06	-0,957	1,843	-1,313
129,56	-0,901	1,847	-1,277
130,06	-0,803	1,844	-1,227
130,57	-0,753	1,846	-1,189
131,07	-0,808	1,807	-1,221
131,57	-0,871	1,785	-1,242
132,08	-0,891	1,781	-1,263
132,59	-0,897	1,787	-1,295
133,09	-0,898	1,790	-1,345
133,60	-0,904	1,788	-1,356
134,11	-0,901	1,787	-1,319
134,61	-0,897	1,789	-1,301
135,11	-0,874	1,820	-1,280
135,63	-0,833	1,842	-1,278
136,13	-0,823	1,850	-1,290
136,63	-0,829	1,848	-1,290
137,14	-0,835	1,845	-1,283
137,64	-0,834	1,847	-1,284
138,14	-0,828	1,862	-1,298
138,65	-0,837	1,849	-1,280
139,15	-0,839	1,843	-1,268
139,66	-0,843	1,840	-1,268
