Time(s)	X	Y	Z
3,20	-0,720	-0,425	-1,230
3,70	-0,720	-0,425	-1,230
4,22	-0,720	1,532	-1,230
4,75	-0,722	1,532	-1,232
5,25	-0,741	1,542	-1,263
5,75	-0,768	1,545	-1,275
6,25	-0,791	1,522	-1,272
6,75	-0,840	1,500	-1,304
7,25	-0,839	1,500	-1,296
7,77	-0,813	1,522	-1,260
8,27	-0,789	1,532	-1,262
8,77	-0,775	1,533	-1,257
9,27	-0,776	1,529	-1,256
9,77	-0,775	1,531	-1,256
10,28	-0,774	1,534	-1,258
10,78	-0,777	1,534	-1,255
11,28	-0,778	1,531	-1,247
11,79	-0,787	1,528	-1,241
12,30	-0,811	1,526	-1,242
12,81	-0,838	1,523	-1,248
13,32	-0,843	1,525	-1,250
13,82	-0,834	1,528	-1,250
14,34	-0,830	1,527	-1,253
14,85	-0,825	1,526	-1,252
15,35	-0,820	1,525	-1,242
15,86	-0,817	1,525	-1,237
16,38	-0,812	1,525	-1,240
16,88	-0,804	1,524	-1,239
17,39	-0,720	1,527	-1,214
17,91	-0,639	1,527	-1,238
18,41	-0,646	1,539	-1,247
18,92	-0,671	1,544	-1,233
19,42	-0,706	1,553	-1,222
19,92	-0,783	1,543	-1,215
20,43	-0,831	1,533	-1,244
20,95	-0,861	1,504	-1,266
21,45	-0,880	1,499	-1,298
21,96	-0,876	1,501	-1,291
22,46	-0,871	1,504	-1,286
22,97	-0,872	1,503	-1,286
23,49	-0,874	1,503	-1,294
24,00	-0,874	1,502	-1,292
24,50	-0,880	1,497	-1,293
25,01	-0,897	1,458	-1,321
25,52	-0,907	1,447	-1,315
26,02	-0,892	1,478	-1,288
26,52	-0,888	1,493	-1,282
27,03	-0,898	1,497	-1,299
27,54	-0,900	1,495	-1,306
28,05	-0,893	1,496	-1,304
28,56	-0,887	1,507	-1,306
29,07	-0,859	1,524	-1,278
29,59	-0,836	1,533	-1,261
30,10	-0,826	1,534	-1,251
30,60	-0,821	1,533	-1,240
31,10	-0,818	1,532	-1,238
31,61	-0,815	1,531	-1,240
32,11	-0,809	1,532	-1,239
32,61	-0,805	1,533	-1,239
33,13	-0,804	1,535	-1,243
33,63	-0,808	1,535	-1,245
34,13	-0,806	1,537	-1,246
34,63	-0,801	1,536	-1,244
35,13	-0,797	1,536	-1,238
35,64	-0,799	1,533	-1,234
36,14	-0,800	1,532	-1,235
36,66	-0,800	1,530	-1,233
37,16	-0,799	1,531	-1,228
37,67	-0,799	1,531	-1,229
38,18	-0,798	1,531	-1,230
38,70	-0,801	1,527	-1,229
39,20	-0,796	1,527	-1,234
39,71	-0,796	1,528	-1,237
40,23	-0,740	1,515	-1,217
40,73	-0,780	1,525	-1,236
41,24	-0,786	1,490	-1,250
41,75	-0,803	1,508	-1,269
42,25	-0,796	1,526	-1,289
42,77	-0,797	1,526	-1,300
43,27	-0,802	1,527	-1,307
43,77	-0,802	1,532	-1,301
44,29	-0,806	1,543	-1,294
44,80	-0,814	1,545	-1,268
45,30	-0,822	1,542	-1,246
45,82	-0,870	1,539	-1,260
46,33	-0,895	1,534	-1,261
46,84	-0,920	1,532	-1,267
47,36	-0,928	1,530	-1,267
47,87	-0,927	1,532	-1,265
48,39	-0,917	1,535	-1,263
48,90	-0,910	1,535	-1,263
49,41	-0,901	1,540	-1,270
49,93	-0,889	1,544	-1,278
50,44	-0,887	1,546	-1,293
50,94	-0,880	1,545	-1,298
51,45	-0,873	1,545	-1,296
51,97	-0,866	1,545	-1,293
52,47	-0,864	1,544	-1,286
52,98	-0,855	1,543	-1,271
53,50	-0,849	1,550	-1,273
54,00	-0,856	1,557	-1,315
54,51	-0,865	1,552	-1,300
55,01	-0,856	1,541	-1,285
55,52	-0,843	1,530	-1,275
56,04	-0,848	1,529	-1,274
56,55	-0,851	1,524	-1,280
57,06	-0,857	1,531	-1,287
57,57	-0,847	1,537	-1,280
58,07	-0,854	1,538	-1,267
58,59	-0,849	1,539	-1,254
59,10	-0,842	1,537	-1,242
59,60	-0,837	1,533	-1,226
60,11	-0,856	1,535	-1,239
60,63	-0,897	1,511	-1,294
61,13	-0,906	1,508	-1,304
61,64	-0,892	1,521	-1,286
62,14	-0,862	1,530	-1,258
62,64	-0,852	1,533	-1,255
63,16	-0,840	1,533	-1,245
63,67	-0,827	1,535	-1,244
64,17	-0,811	1,537	-1,241
64,68	-0,803	1,538	-1,237
65,18	-0,803	1,538	-1,234
65,70	-0,805	1,538	-1,241
66,21	-0,800	1,540	-1,247
66,71	-0,803	1,543	-1,247
67,23	-0,808	1,541	-1,242
67,74	-0,806	1,539	-1,237
68,25	-0,800	1,541	-1,239
68,77	-0,800	1,541	-1,241
69,28	-0,796	1,542	-1,242
69,78	-0,794	1,537	-1,235
70,28	-0,791	1,539	-1,232
70,80	-0,794	1,538	-1,228
71,31	-0,798	1,537	-1,222
71,81	-0,800	1,539	-1,226
72,32	-0,795	1,539	-1,228
72,84	-0,795	1,537	-1,228
73,34	-0,796	1,538	-1,236
73,85	-0,800	1,536	-1,243
74,35	-0,832	1,520	-1,273
74,85	-0,846	1,514	-1,291
75,36	-0,838	1,499	-1,281
75,86	-0,834	1,483	-1,285
76,36	-0,828	1,488	-1,277
76,86	-0,829	1,494	-1,272
77,38	-0,829	1,499	-1,260
77,88	-0,826	1,509	-1,251
78,38	-0,814	1,524	-1,239
78,89	-0,801	1,528	-1,254
79,39	-0,785	1,527	-1,249
79,91	-0,779	1,531	-1,256
80,42	-0,781	1,535	-1,260
80,92	-0,815	1,527	-1,281
81,42	-0,826	1,520	-1,293
81,93	-0,821	1,523	-1,283
82,43	-0,816	1,527	-1,278
82,95	-0,808	1,528	-1,264
83,45	-0,806	1,529	-1,263
83,95	-0,800	1,531	-1,265
84,46	-0,796	1,532	-1,265
84,96	-0,793	1,534	-1,260
85,48	-0,792	1,536	-1,260
85,98	-0,790	1,536	-1,259
86,48	-0,790	1,535	-1,257
86,99	-0,790	1,536	-1,261
87,50	-0,790	1,538	-1,263
88,00	-0,791	1,536	-1,260
88,52	-0,789	1,538	-1,259
89,02	-0,788	1,536	-1,256
89,52	-0,789	1,535	-1,254
90,03	-0,790	1,535	-1,253
90,54	-0,788	1,538	-1,255
91,05	-0,787	1,540	-1,264
91,56	-0,784	1,541	-1,267
92,06	-0,786	1,541	-1,270
92,56	-0,788	1,539	-1,271
93,07	-0,787	1,539	-1,271
93,57	-0,786	1,539	-1,270
94,09	-0,784	1,539	-1,267
94,60	-0,784	1,539	-1,267
95,11	-0,781	1,541	-1,266
95,61	-0,778	1,542	-1,263
96,13	-0,780	1,541	-1,261
96,64	-0,783	1,541	-1,263
97,14	-0,785	1,542	-1,269
97,64	-0,782	1,543	-1,270
98,14	-0,780	1,546	-1,267
98,65	-0,777	1,547	-1,270
99,16	-0,778	1,547	-1,266
99,67	-0,818	1,538	-1,277
100,18	-0,844	1,523	-1,312
100,68	-0,837	1,522	-1,308
101,20	-0,831	1,522	-1,303
101,71	-0,821	1,527	-1,293
102,21	-0,798	1,537	-1,263
102,72	-0,796	1,535	-1,251
103,22	-0,795	1,532	-1,244
103,73	-0,791	1,532	-1,248
104,24	-0,784	1,536	-1,251
104,75	-0,779	1,539	-1,253
105,25	-0,782	1,538	-1,252
105,75	-0,779	1,525	-1,251
106,27	-0,773	1,524	-1,258
106,77	-0,777	1,542	-1,271
107,28	-0,777	1,541	-1,266
107,80	-0,774	1,542	-1,274
108,31	-0,771	1,542	-1,277
108,81	-0,759	1,543	-1,279
109,32	-0,752	1,543	-1,276
109,84	-0,748	1,543	-1,271
110,35	-0,749	1,542	-1,268
110,86	-0,749	1,541	-1,262
111,38	-0,748	1,541	-1,261
111,89	-0,750	1,541	-1,267
112,41	-0,747	1,543	-1,270
112,91	-0,742	1,543	-1,274
113,42	-0,745	1,544	-1,279
113,93	-0,756	1,544	-1,290
114,45	-0,765	1,543	-1,288
114,96	-0,760	1,544	-1,287
115,48	-0,758	1,543	-1,290
115,99	-0,758	1,544	-1,292
116,50	-0,756	1,544	-1,291
117,00	-0,756	1,543	-1,288
117,50	-0,752	1,543	-1,286
118,02	-0,752	1,543	-1,280
118,52	-0,752	1,542	-1,273
119,02	-0,750	1,542	-1,271
119,53	-0,750	1,542	-1,271
120,04	-0,748	1,542	-1,280
120,55	-0,746	1,542	-1,283
121,06	-0,747	1,543	-1,282
121,57	-0,750	1,542	-1,282
122,07	-0,752	1,541	-1,279
122,59	-0,755	1,541	-1,277
123,10	-0,755	1,537	-1,279
123,60	-0,756	1,537	-1,285
124,11	-0,757	1,539	-1,290
124,63	-0,757	1,540	-1,294
125,13	-0,759	1,539	-1,296
125,64	-0,760	1,540	-1,298
126,16	-0,765	1,541	-1,295
126,66	-0,779	1,545	-1,302
127,17	-0,791	1,542	-1,309
127,68	-0,790	1,541	-1,310
128,18	-0,787	1,534	-1,308
128,70	-0,788	1,537	-1,306
129,21	-0,790	1,538	-1,295
129,71	-0,780	1,535	-1,279
130,22	-0,777	1,530	-1,275
130,74	-0,795	1,532	-1,283
131,24	-0,792	1,533	-1,280
131,75	-0,790	1,533	-1,288
132,27	-0,790	1,534	-1,291
132,77	-0,789	1,536	-1,288
133,28	-0,789	1,537	-1,289
133,79	-0,788	1,537	-1,289
134,29	-0,790	1,535	-1,287
134,81	-0,790	1,532	-1,279
135,31	-0,784	1,531	-1,279
135,81	-0,788	1,531	-1,284
136,32	-0,788	1,534	-1,291
136,82	-0,788	1,535	-1,292
137,32	-0,789	1,535	-1,293
137,82	-0,789	1,537	-1,294
138,34	-0,786	1,537	-1,295
138,85	-0,785	1,537	-1,296
139,35	-0,785	1,538	-1,301
139,85	-0,791	1,539	-1,310
140,36	-0,796	1,537	-1,308
140,86	-0,789	1,537	-1,300
141,38	-0,789	1,538	-1,304
141,89	-0,787	1,540	-1,304
142,39	-0,787	1,541	-1,307
142,91	-0,789	1,542	-1,307
143,42	-0,793	1,542	-1,308
143,92	-0,790	1,541	-1,307
144,43	-0,788	1,542	-1,305
144,95	-0,788	1,542	-1,308
145,45	-0,790	1,542	-1,307
145,96	-0,790	1,542	-1,307
146,46	-0,789	1,543	-1,308
146,96	-0,787	1,542	-1,306
147,47	-0,788	1,541	-1,306
147,97	-0,793	1,543	-1,310
148,49	-0,806	1,546	-1,302
149,00	-0,801	1,546	-1,296
149,50	-0,779	1,542	-1,301
150,02	-0,778	1,548	-1,319
150,53	-0,778	1,553	-1,325
151,03	-0,785	1,550	-1,315
151,54	-0,792	1,548	-1,305
152,04	-0,796	1,547	-1,298
152,56	-0,798	1,547	-1,295
153,06	-0,799	1,547	-1,296
153,58	-0,798	1,547	-1,295
154,09	-0,799	1,547	-1,292
154,60	-0,800	1,546	-1,292
155,11	-0,801	1,547	-1,296
155,63	-0,800	1,547	-1,300
156,13	-0,795	1,548	-1,304
156,63	-0,793	1,548	-1,306
157,14	-0,792	1,548	-1,301
157,64	-0,788	1,546	-1,293
158,16	-0,792	1,545	-1,293
158,66	-0,793	1,546	-1,291
159,16	-0,791	1,546	-1,294
159,67	-0,791	1,547	-1,297
160,18	-0,792	1,546	-1,296
160,68	-0,793	1,544	-1,299
161,18	-0,764	1,533	-1,292
161,70	-0,700	1,521	-1,292
162,20	-0,693	1,528	-1,309
162,70	-0,713	1,534	-1,312
163,20	-0,743	1,536	-1,316
163,71	-0,765	1,536	-1,314
164,21	-0,768	1,537	-1,314
164,71	-0,770	1,539	-1,312
165,21	-0,778	1,538	-1,301
165,71	-0,778	1,538	-1,298
166,23	-0,778	1,537	-1,288
166,74	-0,772	1,535	-1,275
167,24	-0,775	1,535	-1,279
167,74	-0,778	1,537	-1,289
168,25	-0,774	1,540	-1,305
168,75	-0,774	1,542	-1,313
169,27	-0,773	1,542	-1,307
169,78	-0,776	1,548	-1,306
170,29	-0,772	1,547	-1,294
170,79	-0,776	1,547	-1,291
171,31	-0,784	1,551	-1,294
171,82	-0,790	1,556	-1,294
172,34	-0,795	1,548	-1,282
172,85	-0,806	1,541	-1,270
173,36	-0,801	1,537	-1,280
173,86	-0,783	1,538	-1,294
174,38	-0,786	1,545	-1,302
174,89	-0,790	1,545	-1,304
175,39	-0,795	1,545	-1,305
175,91	-0,796	1,546	-1,308
176,42	-0,801	1,546	-1,307
176,92	-0,805	1,546	-1,307
177,43	-0,809	1,546	-1,306
177,93	-0,808	1,546	-1,303
178,43	-0,807	1,547	-1,310
178,95	-0,807	1,548	-1,315
179,45	-0,806	1,544	-1,307
179,96	-0,806	1,541	-1,296
180,47	-0,803	1,545	-1,280
180,97	-0,804	1,539	-1,266
181,49	-0,813	1,518	-1,259
182,00	-0,827	1,488	-1,266
182,50	-0,829	1,501	-1,278
183,00	-0,834	1,505	-1,286
183,50	-0,836	1,505	-1,288
184,02	-0,838	1,508	-1,289
184,52	-0,840	1,509	-1,288
185,02	-0,838	1,509	-1,284
185,53	-0,837	1,511	-1,283
186,04	-0,837	1,512	-1,285
186,54	-0,835	1,515	-1,288
187,04	-0,835	1,514	-1,288
187,56	-0,834	1,515	-1,290
188,06	-0,834	1,517	-1,297
188,57	-0,832	1,516	-1,299
189,09	-0,830	1,516	-1,299
189,60	-0,833	1,516	-1,299
190,11	-0,836	1,516	-1,297
190,61	-0,838	1,516	-1,295
191,11	-0,836	1,517	-1,294
191,63	-0,835	1,518	-1,294
192,13	-0,836	1,518	-1,292
192,63	-0,835	1,518	-1,289
193,14	-0,834	1,518	-1,289
193,66	-0,836	1,518	-1,291
194,16	-0,837	1,518	-1,289
194,66	-0,838	1,519	-1,287
195,17	-0,836	1,521	-1,288
195,67	-0,836	1,521	-1,290
196,17	-0,835	1,522	-1,289
196,68	-0,835	1,521	-1,288
197,20	-0,836	1,522	-1,287
197,70	-0,837	1,522	-1,285
198,21	-0,836	1,523	-1,281
198,71	-0,835	1,524	-1,281
199,21	-0,833	1,524	-1,281
199,72	-0,835	1,523	-1,285
200,23	-0,835	1,523	-1,288
200,74	-0,835	1,522	-1,283
201,25	-0,837	1,522	-1,282
201,77	-0,838	1,522	-1,279
202,27	-0,838	1,524	-1,280
202,78	-0,835	1,526	-1,286
203,29	-0,834	1,525	-1,291
203,79	-0,835	1,525	-1,292
204,31	-0,836	1,525	-1,297
204,81	-0,838	1,525	-1,297
205,31	-0,839	1,525	-1,295
205,82	-0,836	1,525	-1,289
206,34	-0,837	1,526	-1,287
206,85	-0,844	1,526	-1,284
207,35	-0,856	1,530	-1,274
207,86	-0,877	1,530	-1,259
208,36	-0,920	1,512	-1,267
208,88	-0,860	1,399	-1,211
209,39	-0,806	1,413	-1,183
209,89	-0,787	1,511	-1,246
210,39	-0,809	1,535	-1,293
210,89	-0,816	1,550	-1,308
211,39	-0,808	1,549	-1,308
211,91	-0,803	1,541	-1,288
212,42	-0,818	1,545	-1,291
212,92	-0,830	1,544	-1,294
213,42	-0,829	1,545	-1,295
213,93	-0,834	1,544	-1,292
214,43	-0,840	1,542	-1,285
214,93	-0,835	1,542	-1,282
215,45	-0,835	1,542	-1,281
215,95	-0,838	1,541	-1,280
216,46	-0,845	1,542	-1,276
216,96	-0,848	1,541	-1,274
217,47	-0,847	1,542	-1,275
217,97	-0,844	1,542	-1,282
218,47	-0,843	1,546	-1,288
218,99	-0,840	1,545	-1,285
219,49	-0,829	1,542	-1,278
219,99	-0,832	1,541	-1,281
220,50	-0,835	1,542	-1,280
221,00	-0,837	1,543	-1,277
221,50	-0,845	1,544	-1,274
222,00	-0,844	1,545	-1,275
222,52	-0,848	1,543	-1,276
223,02	-0,849	1,543	-1,279
223,52	-0,850	1,542	-1,274
224,03	-0,851	1,543	-1,270
224,54	-0,853	1,544	-1,270
225,04	-0,857	1,547	-1,271
225,56	-0,845	1,543	-1,271
226,07	-0,840	1,535	-1,268
226,57	-0,839	1,535	-1,267
227,09	-0,840	1,535	-1,268
227,59	-0,839	1,538	-1,269
228,10	-0,842	1,540	-1,269
228,61	-0,843	1,540	-1,271
229,11	-0,842	1,539	-1,268
229,63	-0,835	1,539	-1,265
230,14	-0,831	1,541	-1,270
230,66	-0,846	1,544	-1,279
231,16	-0,879	1,544	-1,279
231,67	-0,914	1,540	-1,282
232,17	-0,932	1,533	-1,290
232,67	-0,877	1,548	-1,281
233,18	-0,844	1,543	-1,258
233,68	-0,842	1,546	-1,251
234,20	-0,830	1,546	-1,241
234,70	-0,824	1,538	-1,227
235,20	-0,833	1,523	-1,237
235,71	-0,832	1,522	-1,258
236,21	-0,843	1,531	-1,271
236,72	-0,840	1,536	-1,279
237,22	-0,833	1,538	-1,275
237,72	-0,833	1,535	-1,269
238,24	-0,849	1,514	-1,265
238,74	-0,843	1,511	-1,249
239,25	-0,837	1,520	-1,254
239,77	-0,837	1,532	-1,262
240,27	-0,838	1,533	-1,264
240,78	-0,843	1,535	-1,267
241,29	-0,843	1,539	-1,262
241,79	-0,842	1,539	-1,264
242,29	-0,827	1,537	-1,256
242,81	-0,825	1,538	-1,260
243,31	-0,820	1,539	-1,262
243,82	-0,819	1,539	-1,267
244,34	-0,817	1,540	-1,271
244,84	-0,818	1,542	-1,271
245,37	-0,824	1,551	-1,268
245,89	-0,850	1,557	-1,280
246,40	-0,850	1,558	-1,270
246,91	-0,844	1,559	-1,261
247,41	-0,840	1,560	-1,257
247,92	-0,841	1,561	-1,263
248,43	-0,847	1,559	-1,267
248,93	-0,856	1,552	-1,272
249,44	-0,855	1,552	-1,280
249,94	-0,850	1,554	-1,280
250,45	-0,847	1,554	-1,273
250,96	-0,859	1,552	-1,270
251,46	-0,865	1,557	-1,263
251,97	-0,881	1,534	-1,263
252,49	-0,895	1,522	-1,272
253,00	-0,895	1,518	-1,290
253,50	-0,895	1,511	-1,329
254,00	-0,885	1,514	-1,323
254,52	-0,867	1,534	-1,277
255,03	-0,865	1,532	-1,255
255,53	-0,873	1,537	-1,244
256,04	-0,878	1,533	-1,233
256,56	-0,881	1,529	-1,236
257,07	-0,865	1,533	-1,246
257,57	-0,841	1,542	-1,255
258,07	-0,829	1,547	-1,246
258,57	-0,835	1,546	-1,248
