Time(s)	X	Y	Z
3,33	-0,720	-0,305	-1,230
3,83	-0,720	-0,305	-1,230
4,33	-0,431	1,586	0,925
4,84	-0,429	1,580	0,926
5,34	-0,720	1,578	-1,230
5,85	-0,720	1,579	-1,234
6,35	-0,720	1,580	-1,233
6,87	-0,720	1,579	-1,229
7,37	-0,737	1,578	-1,229
7,87	-0,761	1,587	-1,246
8,37	-0,780	1,583	-1,245
8,88	-0,818	1,570	-1,244
9,40	-0,845	1,569	-1,238
9,90	-0,899	1,581	-1,218
10,41	-0,905	1,585	-1,204
10,91	-0,813	1,587	-1,174
11,41	-0,770	1,585	-1,169
11,91	-0,775	1,581	-1,174
12,41	-0,778	1,582	-1,178
12,93	-0,790	1,576	-1,176
13,43	-0,820	1,556	-1,197
13,94	-0,825	1,554	-1,209
14,45	-0,804	1,561	-1,175
14,97	-0,786	1,567	-1,160
15,48	-0,784	1,568	-1,168
15,99	-0,787	1,569	-1,175
16,49	-0,783	1,577	-1,177
16,99	-0,779	1,580	-1,173
17,51	-0,775	1,577	-1,176
18,02	-0,774	1,577	-1,175
18,54	-0,774	1,577	-1,174
19,05	-0,777	1,577	-1,172
19,55	-0,779	1,576	-1,170
20,06	-0,778	1,575	-1,165
20,58	-0,778	1,574	-1,166
21,09	-0,777	1,574	-1,169
21,59	-0,776	1,575	-1,166
22,11	-0,779	1,573	-1,163
22,62	-0,778	1,577	-1,166
23,13	-0,782	1,572	-1,163
23,63	-0,784	1,574	-1,161
24,15	-0,784	1,574	-1,162
24,66	-0,782	1,575	-1,165
25,17	-0,780	1,575	-1,168
25,69	-0,779	1,574	-1,165
26,19	-0,781	1,574	-1,164
26,69	-0,784	1,576	-1,164
27,20	-0,785	1,574	-1,161
27,72	-0,788	1,575	-1,161
28,22	-0,786	1,576	-1,160
28,73	-0,787	1,575	-1,159
29,23	-0,786	1,574	-1,160
29,74	-0,786	1,574	-1,162
30,26	-0,785	1,575	-1,164
30,77	-0,786	1,575	-1,160
31,27	-0,787	1,575	-1,157
31,77	-0,788	1,575	-1,155
32,28	-0,788	1,574	-1,155
32,79	-0,788	1,575	-1,155
33,30	-0,786	1,575	-1,156
33,80	-0,785	1,575	-1,159
34,31	-0,785	1,576	-1,160
34,83	-0,784	1,576	-1,164
35,33	-0,785	1,575	-1,164
35,84	-0,785	1,575	-1,161
36,34	-0,784	1,575	-1,160
36,85	-0,783	1,575	-1,159
37,35	-0,778	1,573	-1,158
37,86	-0,775	1,573	-1,158
38,37	-0,774	1,574	-1,158
38,87	-0,774	1,574	-1,160
39,38	-0,775	1,575	-1,163
39,90	-0,779	1,575	-1,167
40,41	-0,793	1,571	-1,178
40,91	-0,780	1,554	-1,162
41,42	-0,770	1,549	-1,166
41,92	-0,777	1,553	-1,175
42,43	-0,775	1,564	-1,184
42,94	-0,779	1,571	-1,188
43,45	-0,793	1,575	-1,168
43,97	-0,793	1,571	-1,173
44,47	-0,842	1,578	-1,187
44,97	-0,908	1,575	-1,199
