Time(s)	X	Y	Z
3,29	-0,720	-0,305	-1,230
3,79	-0,720	-0,305	-1,230
4,29	-1,611	1,558	-0,598
4,80	-0,720	1,557	-1,232
5,32	-0,715	1,550	-1,240
5,82	-0,719	1,537	-1,204
6,32	-0,734	1,542	-1,225
6,83	-0,731	1,551	-1,232
7,33	-0,731	1,547	-1,227
7,83	-0,734	1,548	-1,229
8,33	-0,743	1,547	-1,232
8,83	-0,769	1,551	-1,237
9,34	-0,850	1,546	-1,269
9,84	-0,852	1,537	-1,283
10,35	-0,762	1,529	-1,277
10,85	-0,796	1,538	-1,273
11,36	-0,803	1,545	-1,269
11,87	-0,795	1,549	-1,272
12,37	-0,789	1,555	-1,276
12,87	-0,773	1,561	-1,297
13,37	-0,788	1,557	-1,306
13,88	-0,788	1,549	-1,304
14,40	-0,801	1,543	-1,294
14,90	-0,798	1,544	-1,288
15,41	-0,791	1,548	-1,283
15,91	-0,791	1,548	-1,290
16,41	-0,796	1,547	-1,296
16,93	-0,782	1,552	-1,286
17,44	-0,780	1,552	-1,288
17,94	-0,782	1,552	-1,295
18,45	-0,788	1,549	-1,294
18,97	-0,781	1,551	-1,290
19,47	-0,772	1,549	-1,281
19,98	-0,780	1,545	-1,273
20,49	-0,786	1,546	-1,273
20,99	-0,783	1,548	-1,278
21,51	-0,766	1,556	-1,290
22,02	-0,768	1,554	-1,291
22,52	-0,769	1,553	-1,294
23,04	-0,767	1,554	-1,292
23,54	-0,769	1,551	-1,287
24,04	-0,777	1,548	-1,285
24,55	-0,777	1,549	-1,280
25,06	-0,742	1,548	-1,262
25,56	-0,668	1,547	-1,232
26,08	-0,676	1,551	-1,231
26,59	-0,858	1,554	-1,305
27,10	-0,906	1,553	-1,297
27,62	-0,862	1,557	-1,257
28,12	-0,846	1,571	-1,270
28,62	-0,855	1,565	-1,269
29,13	-0,859	1,561	-1,257
29,65	-0,863	1,556	-1,244
30,15	-0,874	1,552	-1,238
30,66	-0,876	1,543	-1,228
31,17	-0,861	1,551	-1,237
31,69	-0,858	1,551	-1,228
32,19	-0,847	1,553	-1,225
32,69	-0,853	1,550	-1,218
33,20	-0,847	1,540	-1,211
33,70	-0,831	1,542	-1,214
34,22	-0,840	1,549	-1,239
34,72	-0,853	1,549	-1,260
35,22	-0,850	1,551	-1,261
35,72	-0,850	1,547	-1,250
36,23	-0,855	1,548	-1,242
36,73	-0,865	1,545	-1,230
37,23	-0,874	1,542	-1,230
37,74	-0,890	1,538	-1,223
38,24	-0,896	1,536	-1,217
38,76	-0,891	1,538	-1,214
39,27	-0,886	1,539	-1,215
39,78	-0,883	1,540	-1,219
40,28	-0,886	1,540	-1,219
40,79	-0,892	1,530	-1,228
41,29	-0,890	1,520	-1,234
41,79	-0,890	1,519	-1,236
42,30	-0,881	1,521	-1,237
42,80	-0,877	1,523	-1,236
43,30	-0,875	1,521	-1,231
43,81	-0,871	1,523	-1,227
44,33	-0,876	1,535	-1,228
44,84	-0,915	1,535	-1,241
45,34	-0,976	1,529	-1,215
45,84	-0,949	1,538	-1,070
46,36	-0,987	1,540	-1,042
46,86	-1,026	1,538	-1,072
47,37	-1,019	1,539	-1,075
47,87	-1,012	1,519	-1,074
48,37	-1,012	1,516	-1,062
48,88	-1,017	1,529	-1,066
49,38	-1,015	1,527	-1,059
49,88	-1,008	1,535	-1,063
50,40	-1,005	1,540	-1,069
50,90	-1,010	1,542	-1,070
51,42	-1,013	1,543	-1,070
51,93	-1,017	1,548	-1,069
52,45	-1,035	1,562	-1,078
52,96	-1,127	1,547	-1,100
53,46	-1,054	1,550	-1,130
53,97	-0,898	1,554	-1,132
54,49	-0,855	1,553	-1,146
54,99	-0,873	1,548	-1,140
55,49	-0,876	1,547	-1,132
56,00	-0,870	1,549	-1,137
56,50	-0,871	1,551	-1,141
57,01	-0,875	1,550	-1,135
57,51	-0,877	1,547	-1,127
58,02	-0,877	1,547	-1,130
58,52	-0,882	1,545	-1,133
59,04	-0,879	1,545	-1,136
59,55	-0,887	1,543	-1,145
60,05	-0,905	1,534	-1,147
60,56	-0,902	1,540	-1,145
61,08	-0,885	1,546	-1,147
61,58	-0,868	1,547	-1,146
62,09	-0,864	1,549	-1,146
62,59	-0,873	1,548	-1,142
63,09	-0,878	1,546	-1,131
63,60	-0,877	1,546	-1,123
64,10	-0,872	1,548	-1,127
64,60	-0,865	1,547	-1,131
65,10	-0,857	1,548	-1,137
65,62	-0,857	1,548	-1,138
66,12	-0,856	1,548	-1,137
66,62	-0,856	1,548	-1,134
67,13	-0,858	1,546	-1,126
67,65	-0,862	1,546	-1,132
68,15	-0,864	1,546	-1,141
68,66	-0,861	1,546	-1,139
69,17	-0,862	1,546	-1,139
69,67	-0,863	1,544	-1,137
70,19	-0,860	1,545	-1,135
70,70	-0,860	1,546	-1,139
71,20	-0,857	1,546	-1,138
71,72	-0,857	1,545	-1,130
72,23	-0,860	1,544	-1,127
72,73	-0,860	1,544	-1,127
73,24	-0,862	1,544	-1,133
73,76	-0,861	1,545	-1,143
74,26	-0,859	1,545	-1,143
74,77	-0,859	1,545	-1,136
75,29	-0,859	1,543	-1,130
75,80	-0,851	1,546	-1,128
76,30	-0,848	1,547	-1,134
76,80	-0,848	1,547	-1,136
77,30	-0,858	1,545	-1,139
77,81	-0,862	1,543	-1,134
78,31	-0,860	1,543	-1,131
78,81	-0,856	1,551	-1,128
79,33	-0,895	1,535	-1,144
79,84	-0,906	1,527	-1,159
80,34	-0,872	1,541	-1,129
80,86	-0,861	1,544	-1,125
81,37	-0,869	1,539	-1,119
81,87	-0,976	1,523	-1,103
82,37	-1,101	1,526	-1,110
82,88	-1,120	1,528	-1,094
83,38	-0,999	1,545	-1,048
83,90	-0,864	1,536	-0,997
84,41	-0,822	1,539	-0,998
84,92	-0,840	1,543	-1,020
85,44	-0,888	1,553	-1,087
85,95	-0,992	1,548	-1,176
86,45	-0,971	1,551	-1,184
86,97	-0,925	1,545	-1,154
87,48	-0,923	1,540	-1,133
87,99	-0,907	1,538	-1,134
88,51	-0,914	1,531	-1,121
89,02	-0,924	1,537	-1,107
89,52	-0,942	1,542	-1,094
90,03	-0,947	1,539	-1,103
90,53	-0,926	1,547	-1,124
91,04	-0,910	1,550	-1,138
91,55	-0,909	1,551	-1,133
92,05	-0,909	1,550	-1,134
92,55	-0,908	1,551	-1,138
93,06	-0,906	1,551	-1,137
93,58	-0,908	1,551	-1,139
94,09	-0,910	1,550	-1,138
94,59	-0,915	1,550	-1,131
95,10	-0,924	1,547	-1,117
95,62	-0,925	1,547	-1,110
96,13	-0,919	1,548	-1,115
96,65	-0,911	1,549	-1,125
97,16	-0,913	1,547	-1,128
97,67	-0,920	1,544	-1,126
98,17	-0,918	1,546	-1,126
98,68	-0,917	1,548	-1,124
99,19	-0,920	1,545	-1,113
99,69	-0,927	1,543	-1,096
100,20	-0,935	1,542	-1,076
100,72	-0,926	1,545	-1,086
101,22	-0,922	1,545	-1,104
101,73	-0,933	1,532	-1,103
102,24	-0,956	1,516	-1,092
102,74	-0,969	1,510	-1,090
103,26	-0,957	1,520	-1,100
103,77	-0,937	1,534	-1,123
104,27	-0,913	1,548	-1,143
104,77	-0,891	1,554	-1,152
105,28	-0,891	1,551	-1,139
105,78	-0,897	1,549	-1,140
106,30	-0,905	1,547	-1,143
106,80	-0,919	1,529	-1,137
107,31	-0,918	1,533	-1,124
107,81	-0,912	1,535	-1,124
108,31	-0,906	1,538	-1,126
108,83	-0,907	1,539	-1,130
109,33	-0,906	1,540	-1,138
109,83	-0,905	1,541	-1,136
110,34	-0,899	1,541	-1,131
110,86	-0,899	1,532	-1,117
111,37	-0,900	1,535	-1,120
111,88	-0,897	1,540	-1,132
112,38	-0,898	1,539	-1,136
112,90	-0,904	1,536	-1,114
113,41	-0,912	1,542	-1,108
113,92	-0,914	1,542	-1,111
114,42	-0,910	1,539	-1,109
114,93	-0,911	1,542	-1,110
115,43	-0,923	1,548	-1,119
115,96	-1,001	1,550	-1,152
116,47	-1,084	1,522	-1,231
116,97	-0,937	1,541	-1,204
117,49	-0,759	1,547	-1,181
117,99	-0,746	1,548	-1,196
118,50	-0,754	1,546	-1,196
119,00	-0,757	1,546	-1,204
119,50	-0,761	1,548	-1,220
120,00	-0,755	1,548	-1,219
120,51	-0,758	1,546	-1,217
121,01	-0,756	1,546	-1,218
121,52	-0,754	1,545	-1,213
122,02	-0,754	1,544	-1,209
122,54	-0,756	1,543	-1,207
123,05	-0,761	1,540	-1,211
123,55	-0,758	1,541	-1,211
124,06	-0,766	1,538	-1,215
124,58	-0,774	1,536	-1,219
125,09	-0,759	1,541	-1,207
125,60	-0,760	1,542	-1,208
126,10	-0,758	1,542	-1,211
126,60	-0,765	1,540	-1,209
127,12	-0,764	1,536	-1,202
127,62	-0,753	1,541	-1,220
128,13	-0,748	1,543	-1,222
128,63	-0,747	1,542	-1,214
129,13	-0,742	1,542	-1,208
129,65	-0,734	1,544	-1,201
130,16	-0,738	1,543	-1,203
130,67	-0,740	1,542	-1,204
131,19	-0,743	1,543	-1,209
131,69	-0,744	1,541	-1,211
132,20	-0,741	1,542	-1,214
132,72	-0,737	1,542	-1,207
133,22	-0,735	1,542	-1,202
133,73	-0,736	1,543	-1,207
134,24	-0,739	1,543	-1,213
134,74	-0,737	1,543	-1,216
135,24	-0,736	1,543	-1,216
135,76	-0,734	1,544	-1,211
136,27	-0,739	1,543	-1,202
136,77	-0,741	1,541	-1,192
137,28	-0,741	1,541	-1,194
137,80	-0,735	1,543	-1,199
138,30	-0,732	1,544	-1,211
138,81	-0,734	1,543	-1,216
139,33	-0,738	1,543	-1,219
139,84	-0,739	1,542	-1,217
140,35	-0,740	1,543	-1,214
140,87	-0,738	1,543	-1,214
141,37	-0,735	1,543	-1,213
141,88	-0,737	1,542	-1,209
142,38	-0,741	1,541	-1,209
142,88	-0,741	1,541	-1,210
143,40	-0,741	1,542	-1,206
143,91	-0,739	1,541	-1,201
144,41	-0,733	1,542	-1,200
144,92	-0,731	1,542	-1,199
145,44	-0,736	1,541	-1,198
145,94	-0,740	1,540	-1,206
146,44	-0,754	1,540	-1,198
