Time(s)	X	Y	Z
2,70	-0,720	-0,425	-1,230
3,22	-0,720	-0,425	-1,230
3,73	-1,765	1,561	-0,928
4,23	-1,791	1,560	-0,939
4,73	-1,775	1,566	-0,958
5,24	-1,783	1,537	-0,937
5,74	-1,836	1,467	-0,943
6,24	-1,889	1,387	-0,987
6,74	-1,866	1,414	-1,065
7,25	-1,778	1,518	-0,959
7,77	-1,716	1,550	-0,948
8,27	-1,759	1,553	-0,927
8,78	-1,789	1,551	-0,916
9,28	-1,784	1,542	-0,898
9,78	-1,780	1,545	-0,890
10,29	-0,720	1,561	-1,231
10,79	-0,732	1,555	-1,240
11,30	-0,750	1,543	-1,253
11,81	-0,668	1,532	-1,265
12,32	-0,593	1,533	-1,331
12,82	-0,782	1,543	-1,296
13,32	-0,819	1,547	-1,321
13,84	-0,872	1,547	-1,321
14,34	-0,662	1,599	-1,308
14,85	-0,725	1,535	-1,304
15,36	-0,748	1,540	-1,329
15,87	-0,838	1,525	-1,329
16,38	-0,794	1,546	-1,312
16,89	-0,781	1,553	-1,313
17,41	-0,782	1,549	-1,317
17,92	-0,766	1,555	-1,291
18,42	-0,769	1,553	-1,311
18,92	-0,779	1,551	-1,323
19,43	-0,777	1,550	-1,319
19,93	-0,780	1,551	-1,309
20,43	-0,780	1,550	-1,310
20,93	-0,745	1,558	-1,293
21,45	-0,762	1,592	-1,357
21,96	-0,775	1,571	-1,311
22,46	-0,811	1,528	-1,348
22,96	-0,774	1,545	-1,327
23,48	-0,777	1,547	-1,317
23,98	-0,779	1,551	-1,303
24,49	-0,782	1,557	-1,320
24,99	-0,786	1,553	-1,316
25,49	-0,782	1,550	-1,304
26,00	-0,784	1,550	-1,304
26,52	-0,781	1,551	-1,303
27,02	-0,796	1,550	-1,326
27,53	-0,778	1,552	-1,299
28,03	-0,771	1,555	-1,301
28,54	-0,772	1,552	-1,299
29,04	-0,784	1,548	-1,308
29,56	-0,779	1,550	-1,302
30,06	-0,777	1,553	-1,302
30,56	-0,779	1,552	-1,303
31,07	-0,778	1,551	-1,299
31,59	-0,779	1,552	-1,297
32,09	-0,778	1,551	-1,296
32,60	-0,778	1,551	-1,299
33,11	-0,781	1,549	-1,302
33,62	-0,779	1,549	-1,300
34,13	-0,779	1,548	-1,293
34,63	-0,775	1,546	-1,287
35,13	-0,775	1,547	-1,295
35,64	-0,770	1,549	-1,305
36,16	-0,771	1,549	-1,305
36,66	-0,775	1,547	-1,300
37,17	-0,778	1,548	-1,302
37,67	-0,775	1,547	-1,299
38,18	-0,788	1,542	-1,309
38,70	-0,790	1,541	-1,312
39,21	-0,767	1,547	-1,298
39,71	-0,760	1,551	-1,287
40,23	-0,753	1,551	-1,284
40,73	-0,741	1,551	-1,287
41,23	-0,705	1,552	-1,286
41,73	-0,769	1,519	-1,365
42,24	-0,726	1,544	-1,277
42,75	-0,726	1,549	-1,283
43,25	-0,729	1,550	-1,287
43,75	-0,698	1,552	-1,261
44,27	-0,610	1,547	-1,252
44,77	-0,566	1,540	-1,271
45,28	-0,554	1,539	-1,283
45,78	-0,554	1,538	-1,285
46,29	-0,578	1,540	-1,278
46,80	-0,683	1,552	-1,262
47,31	-0,737	1,556	-1,304
47,81	-0,752	1,550	-1,308
48,31	-0,737	1,525	-1,312
48,82	-0,736	1,531	-1,328
49,34	-0,733	1,545	-1,346
49,84	-0,746	1,544	-1,330
50,35	-0,748	1,543	-1,324
50,85	-0,750	1,541	-1,322
51,35	-0,757	1,542	-1,319
51,86	-0,761	1,542	-1,318
52,37	-0,759	1,542	-1,313
52,87	-0,753	1,541	-1,310
53,39	-0,754	1,542	-1,313
53,89	-0,753	1,543	-1,317
54,40	-0,755	1,545	-1,309
54,91	-0,753	1,552	-1,306
55,41	-0,755	1,551	-1,306
55,91	-0,755	1,551	-1,300
56,42	-0,762	1,550	-1,295
56,92	-0,767	1,549	-1,296
57,43	-0,761	1,549	-1,297
57,93	-0,760	1,550	-1,305
58,43	-0,762	1,549	-1,311
58,93	-0,758	1,549	-1,313
59,44	-0,759	1,548	-1,312
59,95	-0,762	1,548	-1,313
60,46	-0,764	1,547	-1,314
60,98	-0,765	1,546	-1,317
61,48	-0,765	1,546	-1,316
61,98	-0,770	1,545	-1,315
62,48	-0,859	1,479	-1,333
62,98	-0,831	1,540	-1,349
63,49	-0,775	1,555	-1,292
64,00	-0,774	1,557	-1,312
64,52	-0,763	1,559	-1,319
65,02	-0,755	1,559	-1,317
65,52	-0,756	1,560	-1,320
66,03	-0,753	1,559	-1,321
66,53	-0,765	1,557	-1,320
67,03	-0,775	1,556	-1,321
67,54	-0,824	1,524	-1,379
68,06	-0,822	1,521	-1,388
68,56	-0,826	1,522	-1,385
69,06	-0,835	1,522	-1,392
69,56	-0,835	1,521	-1,391
70,06	-0,830	1,523	-1,391
70,57	-0,828	1,539	-1,410
71,09	-0,808	1,554	-1,397
71,59	-0,760	1,560	-1,330
72,10	-0,779	1,557	-1,327
72,61	-0,786	1,555	-1,320
73,11	-0,784	1,554	-1,316
73,63	-0,778	1,556	-1,314
74,13	-0,781	1,556	-1,315
74,64	-0,779	1,555	-1,318
75,16	-0,794	1,551	-1,331
75,66	-0,773	1,554	-1,309
76,16	-0,753	1,552	-1,294
76,66	-0,805	1,535	-1,316
77,17	-0,792	1,544	-1,297
77,68	-0,782	1,551	-1,294
78,20	-0,778	1,558	-1,303
78,71	-0,782	1,558	-1,315
79,21	-0,781	1,557	-1,318
79,71	-0,775	1,557	-1,318
80,22	-0,765	1,556	-1,317
80,73	-0,758	1,553	-1,318
81,23	-0,771	1,555	-1,324
81,74	-0,768	1,554	-1,314
82,24	-0,768	1,555	-1,308
82,75	-0,771	1,554	-1,312
83,27	-0,770	1,558	-1,318
83,78	-0,775	1,556	-1,316
84,28	-0,779	1,555	-1,313
84,79	-0,763	1,556	-1,323
85,31	-0,776	1,554	-1,312
85,81	-0,773	1,552	-1,309
86,32	-0,776	1,552	-1,313
86,84	-0,771	1,551	-1,315
87,34	-0,773	1,553	-1,320
87,85	-0,765	1,560	-1,326
88,35	-0,773	1,552	-1,321
88,85	-0,788	1,545	-1,329
89,37	-0,786	1,547	-1,336
