Time(s)	X	Y	Z
2,61	-0,720	-0,305	-1,230
3,13	-0,720	-0,305	-1,230
3,63	-0,796	1,520	1,281
4,13	-0,780	1,519	1,279
4,63	-0,721	1,518	-1,224
5,13	-0,722	1,519	-1,222
5,63	-0,757	1,519	-1,229
6,15	-0,789	1,519	-1,243
6,65	-0,798	1,518	-1,248
7,15	-0,798	1,519	-1,245
7,66	-0,792	1,518	-1,250
8,16	-0,788	1,519	-1,254
8,68	-0,791	1,518	-1,254
9,18	-0,811	1,500	-1,274
9,69	-0,812	1,497	-1,284
10,19	-0,771	1,490	-1,227
10,71	-0,722	1,485	-1,183
11,21	-0,730	1,482	-1,193
11,71	-0,748	1,476	-1,232
12,22	-0,752	1,479	-1,251
12,72	-0,797	1,518	-1,250
13,22	-0,787	1,515	-1,229
13,73	-0,772	1,518	-1,231
14,25	-0,779	1,516	-1,250
14,75	-0,779	1,516	-1,242
15,26	-0,786	1,512	-1,235
15,77	-0,789	1,512	-1,239
16,27	-0,789	1,512	-1,241
16,79	-0,790	1,512	-1,243
17,29	-0,789	1,511	-1,241
17,80	-0,784	1,512	-1,244
18,31	-0,784	1,511	-1,243
18,83	-0,782	1,512	-1,243
19,33	-0,787	1,512	-1,243
19,84	-0,790	1,511	-1,241
20,34	-0,792	1,511	-1,236
20,84	-0,792	1,512	-1,228
21,36	-0,800	1,510	-1,224
21,86	-0,821	1,508	-1,234
22,37	-0,858	1,503	-1,260
22,87	-0,848	1,505	-1,262
23,38	-0,804	1,510	-1,239
23,90	-0,787	1,508	-1,222
24,41	-0,794	1,503	-1,228
24,93	-0,796	1,503	-1,245
25,43	-0,784	1,517	-1,253
25,94	-0,775	1,512	-1,254
26,44	-0,774	1,513	-1,265
26,94	-0,775	1,515	-1,274
27,45	-0,784	1,517	-1,277
27,97	-0,783	1,515	-1,262
28,47	-0,777	1,515	-1,241
28,97	-0,782	1,518	-1,226
29,48	-0,792	1,514	-1,218
30,00	-0,805	1,510	-1,238
30,50	-0,809	1,509	-1,249
31,01	-0,821	1,508	-1,243
31,51	-0,812	1,506	-1,226
32,01	-0,789	1,508	-1,221
32,52	-0,785	1,508	-1,219
33,02	-0,787	1,507	-1,212
33,54	-0,786	1,505	-1,210
34,05	-0,780	1,506	-1,208
34,55	-0,784	1,506	-1,210
