Time(s)	X	Y	Z
2,61	-0,720	-0,305	-1,230
3,12	-0,720	-0,305	-1,230
3,62	-0,771	1,532	1,262
4,15	-0,720	1,531	-1,231
4,65	-0,720	1,531	-1,233
5,16	-0,723	1,530	-1,234
5,66	-0,751	1,527	-1,232
6,16	-0,777	1,524	-1,237
6,67	-0,786	1,526	-1,240
7,18	-0,778	1,526	-1,237
7,68	-0,769	1,526	-1,235
8,20	-0,766	1,525	-1,233
8,70	-0,768	1,524	-1,226
9,21	-0,768	1,522	-1,227
9,73	-0,767	1,521	-1,230
10,24	-0,766	1,522	-1,233
10,74	-0,767	1,522	-1,234
11,25	-0,769	1,523	-1,233
11,75	-0,773	1,522	-1,230
12,25	-0,790	1,515	-1,228
12,77	-0,819	1,499	-1,236
13,28	-0,845	1,490	-1,249
13,78	-0,851	1,487	-1,267
14,30	-0,847	1,484	-1,270
14,80	-0,846	1,484	-1,279
15,30	-0,844	1,486	-1,281
15,80	-0,843	1,487	-1,275
16,31	-0,846	1,489	-1,272
16,82	-0,851	1,490	-1,275
17,32	-0,834	1,499	-1,252
17,84	-0,796	1,511	-1,226
18,35	-0,792	1,512	-1,219
18,85	-0,781	1,523	-1,212
19,37	-0,737	1,543	-1,202
19,87	-0,770	1,522	-1,207
20,37	-0,797	1,515	-1,227
20,88	-0,808	1,509	-1,243
21,38	-0,818	1,503	-1,251
21,89	-0,842	1,487	-1,274
22,41	-0,854	1,484	-1,288
22,91	-0,859	1,483	-1,298
23,42	-0,867	1,482	-1,304
23,93	-0,873	1,480	-1,303
24,45	-0,870	1,480	-1,294
24,95	-0,855	1,486	-1,274
25,46	-0,814	1,507	-1,229
25,96	-0,803	1,510	-1,224
26,46	-0,801	1,512	-1,222
26,96	-0,798	1,513	-1,228
27,47	-0,799	1,513	-1,232
27,98	-0,800	1,513	-1,233
28,48	-0,802	1,513	-1,234
28,99	-0,802	1,513	-1,234
29,49	-0,802	1,513	-1,235
29,99	-0,804	1,515	-1,227
30,49	-0,796	1,509	-1,209
30,99	-0,783	1,512	-1,210
31,50	-0,765	1,512	-1,200
32,00	-0,760	1,518	-1,204
32,52	-0,784	1,515	-1,213
33,03	-0,822	1,515	-1,216
33,53	-0,834	1,516	-1,210
34,05	-0,823	1,513	-1,219
34,55	-0,810	1,515	-1,230
35,05	-0,796	1,518	-1,230
35,56	-0,793	1,516	-1,226
36,07	-0,797	1,516	-1,228
36,57	-0,799	1,517	-1,236
37,09	-0,799	1,518	-1,241
37,60	-0,800	1,517	-1,235
38,10	-0,802	1,516	-1,229
38,61	-0,803	1,516	-1,227
39,12	-0,803	1,517	-1,229
39,63	-0,801	1,518	-1,234
40,14	-0,791	1,523	-1,244
40,66	-0,787	1,525	-1,250
41,16	-0,785	1,524	-1,250
41,67	-0,785	1,522	-1,248
42,17	-0,786	1,523	-1,247
42,67	-0,789	1,524	-1,251
43,18	-0,790	1,524	-1,254
43,70	-0,794	1,525	-1,240
44,20	-0,802	1,527	-1,242
44,71	-0,822	1,521	-1,229
45,23	-0,837	1,517	-1,218
45,73	-0,838	1,516	-1,220
46,24	-0,835	1,518	-1,223
46,74	-0,836	1,519	-1,227
47,24	-0,812	1,517	-1,237
47,75	-0,806	1,511	-1,245
48,25	-0,791	1,498	-1,228
48,77	-0,792	1,496	-1,227
49,28	-0,790	1,501	-1,238
49,80	-0,793	1,513	-1,258
50,30	-0,795	1,516	-1,266
50,80	-0,797	1,519	-1,271
51,31	-0,803	1,519	-1,272
51,82	-0,804	1,518	-1,270
52,32	-0,803	1,518	-1,271
52,84	-0,796	1,519	-1,272
53,34	-0,793	1,519	-1,270
53,84	-0,792	1,520	-1,267
54,35	-0,792	1,520	-1,262
54,85	-0,794	1,519	-1,263
55,37	-0,794	1,519	-1,267
55,88	-0,792	1,520	-1,265
56,39	-0,793	1,521	-1,261
56,90	-0,796	1,520	-1,260
57,40	-0,799	1,520	-1,263
57,91	-0,797	1,522	-1,266
58,41	-0,794	1,524	-1,269
58,91	-0,791	1,526	-1,272
59,43	-0,792	1,526	-1,275
59,94	-0,792	1,526	-1,272
